symbol	tries	class	required
md_cg/predict.py::dfs	2	active	cur,path,confs,conds,sources,relations,depth
md_cg/predict.py::feedback	2	active	cg,predicted_node_id
md_cg/semantic/canonical.py::query_atoms	2	active	text
md_cg/semantic/en_normalizer.py::normalize_en_query	2	active	query
md_cg/sustain.py::SustainLoop	2	active	cg
md_cg/sustain.py::diagnose	2	active	cg
scripts/bootstrap_watchdog.py::_dp	2	active	
compiler/debugger.py::VMDebugger._op_name	1	active	op
md_cg/bench_p0.py::brute_force	1	active	q
md_cg/refindex.py::Ledger	1	active	root
skills/skills/designer-perspective/scripts/designer.py::_build_parser	1	active	
skills/skills/designer-perspective/scripts/designer.py::emit_mcp_calls	1	active	result
skills/skills/designer-perspective/scripts/designer.py::main	1	active	
swarm/swarm_cli.py::cmd_run	1	active	args
test/hive_exec_test.py::test_build_body_full_optional	1	active	
test/hive_exec_test.py::test_build_body_minimal	1	active	
test/hive_exec_test.py::test_build_body_thinking_and_effort	1	active	
test/hive_exec_test.py::test_est_tokens_mixed_and_empty	1	active	
compiler/codegen.py::CodeGenerator	0	active	
compiler/codegen.py::CodeGenerator._write_header	0	active	
compiler/condition_vm.py::ConditionVM	0	active	
compiler/condition_vm.py::ConditionVM._exec	0	active	
compiler/lexer.py::Lexer	0	active	
hive/hive_mcp/smoke_test.py::main	0	active	
hive/interop/iter-008-ring2-pilot/replay/pilot_build.py::usable	0	active	
md_cg/bench_lme_zh.py::main	0	active	
md_cg/bench_membench.py::main	0	active	
md_cg/bench_p0.py::main	0	active	
md_cg/bench_progressive.py::exp_controlled	0	active	
md_cg/conformance.py::check	0	active	
md_cg/consistency.py::check	0	active	
md_cg/crosscheck.py::crosscheck	0	active	
md_cg/insight.py::outlook	0	active	
md_cg/links.py::handshake	0	active	
md_cg/migrate_aeis.py::migrate	0	active	
md_cg/migrate_roleplay.py::migrate	0	active	
md_cg/mreview/govern.py::main	0	active	
md_cg/security.py::Principal	0	active	
md_cg/subgraph.py::reconstruct_scene	0	active	
md_cg/tokens.py::main	0	active	
md_cg/weights.py::recalc	0	active	
scripts/bootstrap_loop.py::run_channel_b	0	active	
scripts/cogmap_sync.py::extract	0	active	
scripts/verify_discipline.py::main	0	active	
test/hive_wm_test.py::make_cases	0	active	
test/mock_mcp.py::main	0	active	
test/orchestrator_memory.py::OrcMemory	0	active	
md_cg/mdcos.py::MdCGOS._closed_pids	35	stalled-anchorless	
md_cg/mdcos.py::MdCGOS.review_records	35	stalled-anchorless	
md_cg/mdcos.py::MdCGOS	34	stalled-anchorless	
md_cg/mdcos.py::MdCGSecure	34	stalled-anchorless	
md_cg/mdcg.py::MdCG.active_goals	28	stalled-anchorless	
md_cg/mdcg.py::MdCG.close	28	stalled-anchorless	
md_cg/mdcg.py::MdCG.list_goals	28	stalled-anchorless	
md_cg/mdcg.py::MdCG	25	stalled-anchorless	
compiler/parser.py::ASTNode	23	stalled-anchorless	
compiler/parser.py::NodeType	23	stalled-anchorless	
md_cg/mdcos.py::MdCGOS.maintain	20	stalled-anchorless	
compiler/parser.py::Parser._match	18	stalled-anchorless	
md_cg/mdcos.py::MdCGOS._role_counts	17	stalled-anchorless	
md_cg/mdcos.py::MdCGSecure.lock	16	stalled-anchorless	
md_cg/mdcos.py::MdCGSecure.unlock	16	stalled-anchorless	
md_cg/mdcos.py::MdCGOS.insight	15	stalled-anchorless	
hive/exec.py::SpecError	6	stalled-anchorless	
hive/exec.py::_budget_check	6	stalled-anchorless	
md_cg/consistency.py::_recursive_reflect	6	stalled-anchorless	
md_cg/datapath.py::legacy_candidates	6	stalled-anchorless	
compiler/compiler.py::Compiler.__init__	5	stalled-anchorless	
compiler/compiler.py::Compiler._new_label	5	stalled-anchorless	
hive/exec.py::main	5	stalled-anchorless	
md_cg/ccgc.py::AttestResult	5	stalled-anchorless	
md_cg/ccgc.py::CompileResult	5	stalled-anchorless	
md_cg/ccgc.py::LinkResult	5	stalled-anchorless	
md_cg/ccgc.py::RuleParser	5	stalled-anchorless	
md_cg/insight.py::_normalize_evidence	5	stalled-anchorless	
md_cg/insight.py::_q	5	stalled-anchorless	
md_cg/insight.py::_read_event	5	stalled-anchorless	
md_cg/sources.py::DSHSessionSource.discover	5	stalled-anchorless	
md_cg/sources.py::DSHSessionSource.key	5	stalled-anchorless	
md_cg/sources.py::JsonlSource.key	5	stalled-anchorless	
md_cg/sources.py::Source.key	5	stalled-anchorless	
