branch	sha12	reason
task/iter-002-carrier-align	83aef1c9def4	merged-into-main
task/iter-003-fixes	5a2778a71777	merged-into-main
task/iter-004-index-dir	93d86976f144	merged-into-main
task/iter-005-comment-gate	3dc5b26be1fd	merged-into-main
task/iter-006-cg-wiring	c13819635bcc	merged-into-main
task/iter-007-cg-sources	97c26813094e	merged-into-main
task/iter-009-condition-anchor	9d444fe98a76	merged-into-main
task/iter-010-self-annotate	41f5bbac46e4	exploration-pruned-keep10
task/iter-011-facts-llm	bdd5b8301083	merged-into-main
task/iter-012-pilot-facts	3c92bcae8d82	merged-into-main
task/iter-013-batch-a1	5b340d0ccaa4	ledger-stale
task/iter-013-batch-a1-dual	be3cddace5ae	ledger-stale
task/iter-014-logpath-fix	220b104b03c7	merged-into-main
task/iter-015-batch-b1	a55c8d57d430	merged-into-main
task/iter-015-held	5819a43bc2cc	exploration-pruned-keep10
task/iter-016-batch-c1	42c20ad273d6	merged-into-main
task/iter-016-held	f2d317bf8aea	exploration-pruned-keep10
task/iter-017-batch-c2	7cb1f01dd455	merged-into-main
task/iter-017-held	12b4fcf929b0	exploration-pruned-keep10
task/iter-018-batch-c3	df3990b74bba	exploration-pruned-keep10
task/iter-018-held	93ca83b22609	exploration-pruned-keep10
task/iter-019-fix-classdef	6e3f7aec646d	merged-into-main
task/iter-020-batch-c4	a51d2ef5f28b	merged-into-main
task/iter-021-batch-c5	e875072df95c	merged-into-main
task/iter-022-batch-c6	4dc562329b96	merged-into-main
task/iter-023-batch-c7	cb592cc15148	merged-into-main
task/iter-024-batch-c8	93f42f282325	merged-into-main
task/iter-025-batch-c9	697125bf2bb4	merged-into-main
task/iter-026-batch-c10	e3033da98faa	exploration-pruned-keep10
task/iter-027-batch-c11	c6b430dcb2b2	merged-into-main
task/iter-027-batch-c27	e28661b00fc4	exploration-pruned-keep10
task/iter-028-batch-c28	454aeb92fb7b	exploration-pruned-keep10
task/iter-030-batch-c30	4921b9bda52e	exploration-pruned-keep10
task/iter-030-batch-c30-fix	22cd3547364b	exploration-pruned-keep10
task/iter-031-batch-c31	d39d39cf148e	exploration-pruned-keep10
task/iter-031-batch-c31-fix	802b16576d2e	merged-into-main
task/iter-032-batch-c32	4442c3010286	exploration-pruned-keep10
task/iter-032-batch-c32-fix	2727a2e08cc2	exploration-pruned-keep10
task/iter-033-batch-c33	4b454fc893b8	exploration-pruned-keep10
task/iter-034-batch-c34	12ab86689acd	exploration-pruned-keep10
task/iter-035-batch-c35	ba44a7820580	exploration-pruned-keep10
task/iter-035-batch-c35-fix	d282edbb72bc	exploration-pruned-keep10
task/iter-035-batch-c35-fix2	d1fec6a31306	merged-into-main
task/iter-036-batch-c36	2f63c64291cb	exploration-pruned-keep10
task/iter-037-batch-c37	30f17d9a3839	exploration-pruned-keep10
task/iter-038-batch-c38	4ff1eaf8760a	merged-into-main
task/iter-039-batch-c39	47f47eae5de1	exploration-pruned-keep10
task/iter-040-042-mdcos-dual	973a819837e8	merged-into-main
task/iter-040-batch-c40	36877175d998	ledger-stale
task/iter-040-batch-c40-dual	445a988d24ba	exploration-pruned-keep10
task/iter-041-batch-c41	63aa0c7db96a	ledger-stale
task/iter-041-batch-c41-dual	4617a91af5dd	exploration-pruned-keep10
task/iter-042-batch-c42	2424087886c8	ledger-stale
task/iter-042-batch-c42-dual	2e7aeb72b7a4	exploration-pruned-keep10
task/iter-043-batch-c43	cc86bad5ad54	exploration-pruned-keep10
task/iter-044-048-dual	6f6639f9d05e	exploration-pruned-keep10
task/iter-044-batch-c44	9e154f0be741	ledger-stale
